Team,Wins,Seed,PPG,AST,AST/TO Ratio,BKPG,FG%,OPP FG,OPP FGA,OPP FG%,FTA,FT%,Fouls,REB,RPG,OPP REB,OPP RPG,REB MAR,OPP PPG,SCR MAR,3FGA,3FG%,Opp 3FGA,Opp 3FG,Opp 3FG Pct,Opp TO,TO,Turnover Ratio,W/L Pct,ORebs,ORPG,DRebs,DRPG
Buffalo (MAC),1,6,84.9,573,1.43,4.1,46.3,863,2064,41.8,719,69.1,617,1396,41.1,1261,37.1,4,70.5,14.4,968,33.6,754,228,30.2,528,402,3.7,91.2,430,12.65,966,28.41
Duke (ACC),3,1,83.5,541,1.21,6.8,47.7,858,2171,39.5,751,69,539,1420,41.8,1212,35.6,6.1,67.6,15.9,818,30.2,752,221,29.4,502,446,1.6,85.3,455,13.38,965,28.38
Murray St. (OVC),1,12,83.3,561,1.5,4.6,49.6,767,1869,41,628,73.9,506,1175,37.9,1057,34.1,3.8,67.8,15.5,695,34.8,655,185,28.2,442,375,2.2,87.1,336,10.84,839,27.06
Wofford (SoCon),1,7,83,507,1.4,3,49.3,772,1810,42.7,545,69.9,558,1170,35.5,956,29,6.5,65.6,17.4,874,41.6,733,236,32.2,462,363,3,87.9,350,10.61,820,24.85
Tennessee (SEC),2,2,81.8,620,1.63,5.4,49.7,806,2021,39.9,682,76.2,594,1277,37.6,1162,34.2,3.4,68.6,13.1,644,36.2,812,274,33.7,439,380,1.7,85.3,349,10.26,928,27.29
LSU (SEC),2,3,81.4,420,0.99,4.3,46.2,821,1884,43.6,744,75.4,598,1241,38.8,1078,33.7,5.1,73,8.3,678,32.3,736,251,34.1,480,423,1.8,81.3,432,13.5,809,25.28
Yale (Ivy League),0,14,81.1,495,1.29,4.3,49.8,751,1828,41.1,542,73.6,494,1120,38.6,983,33.9,4.7,73.2,7.9,597,37.2,701,219,31.2,328,383,-1.9,75.9,251,8.66,869,29.97
Nevada (Mountain West),0,7,80.7,494,1.46,3.9,46.6,791,1933,40.9,791,70.8,563,1233,37.4,1155,35,2.4,66.6,14.1,831,35.1,773,258,33.4,451,338,3.4,87.9,307,9.3,926,28.06
Auburn (SEC),4,5,79.6,504,1.19,4.8,44.8,808,1866,43.3,669,71.3,639,1211,34.6,1224,35,-0.4,68.1,11.5,1052,37.6,825,291,35.3,616,424,5.5,74.3,422,12.06,789,22.54
Northern Ky. (Horizon),0,14,79.1,581,1.37,4,48.1,806,1934,41.7,717,66.5,647,1259,37,1110,32.6,4.4,68.8,10.4,823,36.6,761,238,31.3,456,424,0.9,76.5,361,10.62,898,26.41
Utah St. (Mountain West),0,8,79.1,585,1.37,4.2,47.4,765,1958,39.1,727,74.7,631,1368,40.2,1066,31.4,8.9,66.8,12.3,752,35.5,783,272,34.7,421,426,-0.1,82.4,368,10.82,1000,29.41
Michigan St. (Big Ten),4,2,78.8,644,1.47,5.5,48.6,793,2098,37.8,680,75,575,1391,40.9,1085,31.9,9,65.5,13.3,735,38.4,777,247,31.8,349,437,-2.6,82.4,368,10.82,1023,30.09
Iowa (Big Ten),1,10,78.3,519,1.29,3.3,45.5,887,1979,44.8,801,74,529,1179,35.7,1144,34.7,1.1,73.6,4.7,739,36.1,819,267,32.6,434,401,1,66.7,341,10.33,838,25.39
Gardner-Webb (Big South),0,16,78.3,492,1.26,2.9,48.8,843,2047,41.2,737,71.1,545,1169,34.4,1194,35.1,-0.7,70.5,7.8,696,39.1,928,303,32.7,453,391,1.8,67.6,269,7.91,900,26.47
New Mexico St. (WAC),0,12,78.1,500,1.24,2.6,45.9,763,1825,41.8,687,67.5,613,1304,38.4,979,28.8,9.6,64.1,14,952,33.5,724,240,33.1,454,403,1.5,88.2,436,12.82,868,25.53
Arizona St. (Pac-12),0,11,77.8,435,1,3.2,44.7,775,1878,41.3,829,67.1,637,1279,40,1127,35.2,4.8,73.1,4.8,680,34.1,816,274,33.6,445,435,0.3,68.8,389,12.16,890,27.81
Marquette (Big East),0,5,77.7,450,0.98,4.3,45.9,789,1964,40.2,680,75.9,616,1256,38.1,1106,33.5,4.5,69.1,8.6,791,39.3,702,224,31.9,391,459,-2.1,72.7,317,9.61,939,28.45
Iowa St. (Big 12),0,6,77.4,518,1.37,4.6,47.7,854,2039,41.9,605,73.2,502,1196,35.2,1177,34.6,0.6,68.3,9.1,789,36.5,802,271,33.8,440,378,1.8,67.6,320,9.41,876,25.76
Mississippi St. (SEC),0,5,77.3,470,1.07,5,47.2,824,1885,43.7,624,71.5,564,1181,35.8,1057,32,3.8,70.1,7.2,752,37.8,683,241,35.3,448,439,0.3,69.7,385,11.67,796,24.12
Georgia St. (Sun Belt),0,14,77.1,410,1.07,4.8,46.4,839,1987,42.2,677,66.3,573,1083,32.8,1285,38.9,-6.1,72.9,4.1,836,38.8,897,296,33,501,384,3.5,72.7,268,8.12,815,24.7
Iona (MAAC),0,16,76.8,421,1.06,2.8,45.3,865,1946,44.5,684,74.1,551,1101,34.4,1168,36.5,-2.1,75.6,1.2,804,35.1,835,307,36.8,425,397,0.9,53.1,282,8.81,819,25.59
Montana (Big Sky),0,15,76.8,500,1.23,3,49.7,798,1855,43,608,68.9,639,1146,33.7,1056,31.1,2.6,68.3,8.4,739,38,679,231,34,461,408,1.6,76.5,293,8.62,853,25.09
Kentucky (SEC),3,2,76.7,457,1.1,5.1,47.8,769,1907,40.3,780,74,538,1268,38.4,972,29.5,9,65.4,11.3,547,36.4,731,256,35,414,417,-0.1,81.8,383,11.61,885,26.82
Purdue (Big Ten),3,3,76.2,462,1.35,4,44.6,732,1739,42.1,564,73.2,560,1177,36.8,1011,31.6,5.2,66.8,9.4,854,36.4,748,257,34.4,417,342,2.3,71.9,391,12.22,786,24.56
Colgate (Patriot),0,15,75.8,531,1.2,3.5,48,854,1969,43.4,557,74.1,532,1209,35.6,1074,31.6,4,70,5.8,786,38.8,798,268,33.6,414,443,-0.9,70.6,323,9.5,886,26.06
Houston (AAC),2,3,75.6,503,1.3,4.5,44.4,690,1880,36.7,647,70.2,648,1391,40.9,1142,33.6,7.3,61.2,14.4,871,35.9,772,213,27.6,418,386,0.9,91.2,425,12.5,966,28.41
FDU (NEC),0,16,75.4,466,1.05,3.6,47.8,846,1913,44.2,660,73.2,554,1085,32.9,1112,33.7,-0.8,71.3,4.2,630,40.3,740,253,34.2,486,445,1.2,60.6,308,9.33,777,23.55
Ole Miss (SEC),0,8,75.4,459,1.13,3.6,45.9,798,1810,44.1,585,78.3,579,1098,34.3,1048,32.8,1.6,70.4,5,729,35.8,631,235,37.2,467,405,1.9,62.5,315,9.84,783,24.47
Kansas (Big 12),1,4,75.4,453,1,3.9,46.2,850,2083,40.8,661,69.7,575,1294,38.1,1208,35.5,2.5,70.1,5.3,702,35,863,290,33.6,449,455,-0.2,73.5,353,10.38,941,27.68
Florida St. (ACC),2,4,74.9,438,0.95,4.3,44.3,774,1891,40.9,721,74.1,651,1271,37.4,1112,32.7,4.7,67.1,7.8,760,33.6,734,239,32.6,486,459,0.8,79.4,389,11.44,882,25.94
Temple (AAC),0,11,74.8,463,1.3,2.3,43.9,813,1844,44.1,636,73.1,559,1097,34.3,1189,37.2,-2.9,71.2,3.7,726,33.1,704,230,32.7,476,357,3.7,71.9,311,9.72,786,24.56
Louisville (ACC),0,7,74.5,442,1.08,3,43.4,790,1950,40.5,670,77.5,570,1262,38.2,1141,34.6,3.7,67.8,6.7,834,34.2,720,228,31.7,375,409,-1,60.6,338,10.24,924,28
Abilene Christian (Southland),0,15,74.5,515,1.3,2.7,47.4,723,1681,43,632,71.5,619,1093,33.1,1037,31.4,1.7,63.1,11.4,637,38.6,564,187,33.2,548,397,4.6,81.8,325,9.85,768,23.27
Villanova (Big East),1,6,74.5,485,1.26,3,43.9,825,1903,43.4,675,72.7,558,1204,35.4,1119,32.9,2.5,67.1,7.4,1023,35.3,747,250,33.5,409,384,0.7,73.5,357,10.5,847,24.91
Liberty (ASUN),1,12,74,505,1.35,2.7,49,741,1785,41.5,485,77.1,513,1113,32.7,1039,30.6,2.2,60.8,13.2,817,36.7,675,216,32,464,373,2.7,82.4,264,7.76,849,24.97
Virginia Tech (ACC),2,4,74,491,1.35,2.3,47.5,690,1701,40.6,545,75.8,489,1043,32.6,958,29.9,2.7,62.1,11.9,779,39.4,853,283,33.2,451,364,2.7,75,285,8.91,758,23.69
Seton Hall (Big East),0,10,73.9,447,1.09,3.9,44.1,819,1920,42.7,682,70.8,619,1183,35.8,1190,36.1,-0.2,71.4,2.5,714,32.4,765,257,33.6,469,410,1.8,60.6,351,10.64,832,25.21
Vermont (America East),0,13,73.9,390,1.08,4,45.9,747,1779,42,665,75.2,542,1161,35.2,1011,30.6,4.5,62.6,11.3,729,35.3,681,237,34.8,433,361,2.2,81.8,307,9.3,854,25.88
North Dakota St. (Summit League),0,16,73.2,383,1.09,2.5,45.6,885,1921,46.1,575,77.4,492,1041,31.5,1087,32.9,-1.4,72.2,1,861,36.6,681,244,35.8,328,350,-0.7,54.5,218,6.61,823,24.94
Texas Tech (Big 12),5,3,73.1,449,1.13,4.9,47.2,626,1699,36.8,595,72.8,569,1097,34.3,1028,32.1,2.2,59.3,13.8,631,36.8,674,203,30.1,501,396,3.3,81.3,283,8.84,814,25.44
Saint Mary's (CA) (WCC),0,11,72.9,332,0.95,2.5,47.4,779,1785,43.6,549,74.5,560,1146,34.7,965,29.2,5.5,64.4,8.5,648,37.8,560,178,31.8,351,349,0.1,66.7,324,9.82,822,24.91
UC Irvine (Big West),1,13,72.9,466,1.13,4.3,45.9,760,2000,38,608,69.6,648,1411,40.3,1155,33,7.3,63.3,9.6,660,36.1,663,220,33.2,399,412,-0.4,85.7,412,11.77,999,28.54
UCF (AAC),1,9,72.1,411,1.11,4.5,46.3,715,1810,39.5,767,64.5,524,1139,36.7,1072,34.6,2.2,64.3,7.8,596,35.4,693,217,31.3,381,369,0.4,74.2,304,9.81,835,26.94
Virginia (ACC),6,1,71.8,464,1.61,3.8,47.8,636,1675,38,520,74.6,469,1108,34.6,952,29.8,4.9,55.1,16.8,663,40.9,685,186,27.2,351,289,1.9,90.6,284,8.88,824,25.75
Baylor (Big 12),1,9,71.7,443,1.04,4.8,44,743,1761,42.2,604,67.4,601,1216,38,1013,31.7,6.3,67.2,4.5,748,34,665,227,34.1,397,425,-0.9,59.4,429,13.41,787,24.59
VCU (Atlantic 10),0,8,71.4,444,0.99,4.5,44.2,678,1765,38.4,652,69.8,634,1177,36.8,1137,35.5,1.3,61.6,9.8,745,30.7,590,163,27.6,521,448,2.3,78.1,347,10.84,830,25.94
Maryland (Big Ten),1,6,71.3,423,1,4.8,45.4,744,1875,39.7,584,74.8,495,1253,39.2,979,30.6,8.6,65.1,6.3,657,35.3,738,236,32,303,422,-3.7,68.8,351,10.97,902,28.19
Oklahoma (Big 12),1,9,71.2,406,1.04,3.1,44.5,796,1978,40.2,586,69.1,504,1203,37.6,1187,37.1,0.5,68.2,2.9,619,34.2,810,270,33.3,392,390,0.1,59.4,295,9.22,908,28.38
Minnesota (Big Ten),1,10,70.8,506,1.24,4,43.7,868,1999,43.4,808,67.9,550,1259,37,1171,34.4,2.6,69.2,1.6,554,32.1,673,228,33.9,386,408,-0.6,61.8,389,11.44,870,25.59
Oregon (Pac-12),2,12,70.5,467,1.13,4.2,45,747,1860,40.2,597,71.9,622,1205,34.4,1144,32.7,1.7,62.9,7.5,775,34.3,840,247,29.4,489,413,2.2,65.7,340,9.71,865,24.71
Michigan (Big Ten),2,2,70.4,475,1.58,4.2,45,760,1903,39.9,526,69.8,479,1185,34.9,1178,34.6,0.2,58.6,11.8,782,35,554,160,28.9,407,300,3.1,82.4,282,8.29,903,26.56
Washington (Pac-12),1,9,69.8,397,0.87,5.7,45.3,763,1841,41.4,648,69.4,626,1074,31.6,1162,34.2,-2.6,64.4,5.4,734,34.6,650,215,33.1,552,454,2.9,76.5,322,9.47,752,22.12
Syracuse (ACC),0,8,69.7,396,0.96,4.8,42.4,718,1807,39.7,683,68.1,575,1148,34.8,1224,37.1,-2.3,65.7,4,795,33,860,278,32.3,517,411,3.2,60.6,356,10.79,792,24
Ohio St. (Big Ten),1,11,69.6,470,1.14,2.5,43.7,765,1820,42,620,73.4,592,1147,34.8,1103,33.4,1.3,66.2,3.4,725,34.3,681,225,33,408,414,-0.2,57.6,310,9.39,837,25.36
Wisconsin (Big Ten),0,5,69.1,421,1.34,4.2,45.3,746,1899,39.3,518,64.9,497,1162,35.2,1172,35.5,-0.3,61.4,7.6,642,36.6,667,208,31.2,375,315,1.8,69.7,269,8.15,893,27.06
Florida (SEC),1,10,68.3,416,1.04,3.7,42.7,763,1804,42.3,579,71.8,583,1138,33.5,1159,34.1,-0.6,63.6,4.6,828,33.5,685,219,32,503,400,3,55.9,361,10.62,777,22.85
Saint Louis (Atlantic 10),0,13,67.1,454,1.02,4.1,41.8,778,1900,40.9,793,59.8,612,1391,39.7,1163,33.2,6.5,63.7,3.3,652,30.8,719,226,31.4,454,445,0.3,65.7,483,13.8,908,25.94
Bradley (MVC),0,15,66.6,411,0.95,3.8,43.4,756,1838,41.1,654,69.3,596,1169,34.4,1127,33.1,1.2,65,1.6,632,36.6,734,241,32.8,425,431,-0.2,58.8,314,9.24,855,25.15
Old Dominion (CUSA),0,14,66.2,435,1.09,4.6,41.1,717,1834,39.1,579,66,560,1324,38.9,1156,34,4.9,60.9,5.3,731,35.3,735,239,32.5,413,399,0.4,76.5,408,12,916,26.94
Kansas St. (Big 12),0,4,65.8,454,1.22,2.3,43.1,695,1678,41.4,559,66.4,533,1098,33.3,1060,32.1,1.2,59.2,6.6,694,33.6,718,224,31.2,490,372,3.6,75.8,312,9.45,786,23.82
