Team,Wins,Seed,PPG,AST,AST/TO Ratio,BKPG,FG%,OPP FG,OPP FGA,OPP FG%,FTA,FT%,Fouls,REB,RPG,OPP REB,OPP RPG,REB MAR,OPP PPG,SCR MAR,3FGA,3FG%,Opp 3FGA,Opp 3FG,Opp 3FG Pct,Opp TO,TO,Turnover Ratio,W/L Pct,ORebs,ORPG,DRebs,DRPG
Oklahoma (Big 12),4,2,80.4,465,1.12,5.3,45.9,819,2024,40.5,647,72.8,538,1242,38.8,1162,36.3,2.5,70.4,10,784,42.6,709,241,34,407,415,-0.3,78.1,343,10.72,899,28.09
Michigan St. (Big Ten),0,2,79.8,699,1.74,5.1,48.4,741,1966,37.7,608,73,649,1424,41.9,1027,30.2,11.7,63.4,16.4,715,43.4,639,193,30.2,325,402,-2.3,85.3,419,12.32,1005,29.56
Gonzaga (WCC),2,11,79.7,458,1.23,3,48.6,795,1992,39.9,676,76,577,1307,39.6,1067,32.3,7.3,66.2,13.5,682,37.8,666,198,29.7,341,372,-0.9,78.8,350,10.61,957,29
Kentucky (SEC),1,4,79.7,490,1.3,5.6,47.9,782,1954,40,777,68.3,696,1318,38.8,1133,33.3,5.4,68.3,11.4,637,37,582,192,33,420,376,1.3,76.5,442,13,876,25.76
Iona (MAAC),0,13,79.6,539,1.32,4.1,45.6,812,1929,42.1,633,71.2,622,1181,36.9,1199,37.5,-0.6,73.7,5.9,860,37.2,696,247,35.5,451,409,1.3,68.8,339,10.59,842,26.31
UNCW (CAA),0,13,79.2,428,1.17,4.4,45.6,729,1748,41.7,741,70.2,761,1203,37.6,1170,36.6,1,71.4,7.8,651,33.6,507,171,33.7,485,365,3.8,78.1,384,12,819,25.59
West Virginia (Big 12),0,3,79.2,502,1.05,2.5,45.2,709,1658,42.8,945,67,795,1332,39.2,1045,30.7,8.4,66.6,12.6,627,32.9,599,199,33.2,617,476,4.1,76.5,541,15.91,791,23.26
Oregon (Pac-12),3,1,78.8,464,1.18,5.9,46.7,836,1970,42.4,813,71.3,607,1229,36.1,1119,32.9,3.2,69.1,9.7,670,34.9,670,243,36.3,488,393,2.8,82.4,399,11.74,830,24.41
Iowa (Big Ten),1,7,78.1,496,1.54,4.8,45,788,1901,41.5,634,71.9,504,1190,38.4,1148,37,1.4,68.7,9.4,667,38.2,735,228,31,407,323,2.7,67.7,369,11.9,821,26.48
Purdue (Big Ten),0,5,77.7,598,1.47,4.6,47.2,794,2029,39.1,695,74.2,584,1392,40.9,1030,30.3,10.6,64.6,13.1,703,36.8,670,210,31.3,320,406,-2.5,76.5,397,11.68,995,29.26
